Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,497.741431256813
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5396.2142432843
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4530.10174483631
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,13672.576657298
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,41328.6004978373
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2191.34776433537
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,18730.0047966374
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,9963.67416171662
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4828.50488626598
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.8098183195
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,55049.571919719
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50067.5857265892
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.75371765917
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,32173.9581814182
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,25869.1129129041
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2122.03765230231
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,19156.0398672282
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6837.76832136779
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46641.7214017087
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6134.21523305713
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1170.88599492622
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,116153.166121638
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3564.59877149986
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3472.38083136442
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6094.72482322311
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6691.16084579207
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8845.32414932264
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30748.3092371228
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9874.33632625168
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,765.229560401644
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,216.972970900616
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3903.05031683625
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1671.3854000919
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1538.5630625108
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46352.8693445211
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,89846.3210991824
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,426.408753120209
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,701.621201027424
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,58564.3500973853
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14616.2072513761
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10143.8602206165
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6436.50921493811
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1510.7973237214
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,575.882781366465
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2508.94044443477
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12669.3411549351
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2309.31358341573
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,15218.5258037621
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,9139.38051005519
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19220.6866958303
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,29419.9921875
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23664.8478631108
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,59592.9806886454
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2876.04366371536
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8561.58701121461
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8173.34469885261
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6203.72705079758
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3017.25833578941
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4280.28840404719
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,7317.39002617962
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23581.656836882
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3843.38004601919
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,840.449601255171
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,63203.7447848956
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5927.72418996345
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48629.8582283032
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40494.8982936276
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,20093.2085805567
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7523.8622784598
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,722.875356284026
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4741.2832715876
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46805.1384334439
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2167.92527597794
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19143.8876174584
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,53309.2035905065
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9887.92074235834
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,37687.3991839833
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4647.80754129437
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1043.89988618266
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,754.381639420495
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6477.29672607993
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1345.4750547884
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2498.50918635232
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,48359.0011950597
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16786.2136399075
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,68452.23622306
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2050.16380022056
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4151.22755440796
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,3276.75326508226
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5621.18169491752
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,80848.3019020489
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,87152.4652554167
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,44452.2325623093
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,33673.7509627421
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5626.1704590766
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40415.9567649547
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4159.6537537759
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9812.59552626324
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1970.08007048615
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1745.7324153971
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.4169048194
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4416.02925267842
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,31230.1729499142
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1451.51563835807
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2598.50579475158
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17883.3494113217
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,8925.42186017072
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1074.1340466189
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,665.878447568436
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,10972.902519068
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,167259.160311816
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19615.5491450175
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,112726.439672814
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,82998.6361006441
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,512.27966560241
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,587.115464659464
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11132.1027429418
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,11349.8592675975
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,840.175746366299
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,31751.1811756369
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,5186.83384237084
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1800.87518658218
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11403.2527870674
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,10434.5676193955
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3537.47115704038
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,4405.33418162155
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,199382.838585354
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4394.94715044543
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8909.6538759126
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3498.58276367188
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,512.215756850012
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1415.24898557512
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5126.17614281673
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,10316.5278229326
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1185.68231827815
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52476.2732533327
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,34934.5794300065
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,42747.2099299966
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1905.64091736446
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,549.81612777766
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2334.02364195898
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6718.85826635458
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,23687.2718520599
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,76430.5889473338
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,19132.1522739094
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1437.1658330724
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,15730.559546438
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,16472.8317470488
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2593.77555393227
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5807.83879407975
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6956.49574886694
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3413.84904430419
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15700.0135796738
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,23330.817288932
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,32916.866800639
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,62827.3969554767
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,12957.9991142218
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11447.701171875
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,806.332472032037
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4308.3007294066
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,47287.3983948633
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1924.40814952173
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,23405.7087429435
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1462.67835252138
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7417.20660836868
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,19141.5118743615
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,506.606913779078
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,66081.7199235165
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,35509.49472678
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19381.8905468746
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,26042.4463468032
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2398.77305007963
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,589.465891901627
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6702.52661671812
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29581.5185513299
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,4082.69404871533
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,23219.6419256278
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,11714.8975491757
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,19691.6167115689
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,8680.25110238522
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,748.010925292969
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,6690.04478601228
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51939.4297445291
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,84121.9310304414
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,1123.63235251465
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,889.023340713117
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1050.93176269531
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7628.57603307351
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1583.07860279061
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,848.310124981212
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4878.97868604087
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,15642.4067190576
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3477.83618091653
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9215.44087472889
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,7344.88020350303
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,27327.8832805295
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,4940.05098268449
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,823.024732902811
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3661.45776367188
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,45376.1708390447
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,42662.5353740311
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65548.0707847572
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,18149.0562908315
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1795.20176845657
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3076.58988588361
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Viet Nam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,3491.09140990663
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,38633.5298915336
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3656.85827137011
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1268.12094056241
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1421.86859641758
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1508.48688648948
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1813.60914568405
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6565.98083975861
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,12173.610811624
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16355.8581493383
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3528.99645119156
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11484.3410118407
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,8171.96552369406
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8262.81763368418
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,38904.6070562194
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,24867.4720139645
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,6022.63238606854
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,9022.69589831855
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,35080.9147971764
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1923.17068917178
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,985.590876409076
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,41188.7704617624
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,6465.81328082011
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,5144.37243935275
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1883.54621067899
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1214.9263173816
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1437.01918707643
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,9976.98358578555
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8771.14453844381
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,8245.29566055528
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,8596.41766087618
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,1098.40753887349
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4810.52084108954
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,686.357799279352
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2162.54888541798
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7501.9689641949
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,3536.33661519656
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,3534.92693633058
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,5281.78360259079
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,63584.0377419401
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,..
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,39685.5608569649
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,14212.9139759241
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,4230.5980928619
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,45822.0716593778
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1490.50456175284
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,12581.2230617678
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1965.09061363678
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1965.09061363678
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1632.082811636
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1630.55857440587
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1632.082811636
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,8547.70630387593
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,11358.4786578376
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/24/2024,,,,
